component,P [kW]
PE,3433.70068359375
PE friction,-112.18253823167736
aux,-28.98048424004543
fuel_pump,-13.484697212951604
PE circumv compressor,-198.12108803567
CA compressor,-0.0
gearbox,-32.9253766112203
HPC,-2853.982681720035
sum HP,194.02381754215014
LPT,5107.195292364609
LP spool,-51.07195292364613
IPC,-273.12051271445074
fan gear,-47.83002826726516
fan,-4735.172798459247
sum LP,-9.313225746154785e-13
heat_PE,2023.1683349609375
friction_heat,112.18253823167736
cooling_H2,486.7816643216041
cooling_bypass,1648.5692088710107
sum_heat,0.0
