phi_sc  value
340.00000 20.20602
341.00000 20.19978
342.00000 20.19435
343.00000 20.18971
344.00000 20.18586
345.00000 20.18278
346.00000 20.18046
347.00000 20.17890
348.00000 20.17807
349.00000 20.17797
350.00000 20.17858
351.00000 20.17991
352.00000 20.18194
353.00000 20.18466
354.00000 20.18806
355.00000 20.19214
356.00000 20.19688
357.00000 20.20228
358.00000 20.20834
359.00000 20.21504
360.00000 20.22238
361.00000 20.23035
362.00000 20.23895
363.00000 20.24819
364.00000 20.25806
365.00000 20.26855
366.00000 20.27965
367.00000 20.29138
368.00000 20.30374
369.00000 20.31672
370.00000 20.33031
371.00000 20.34453
372.00000 20.35938
373.00000 20.37487
374.00000 20.39099
375.00000 20.40775
376.00000 20.42517
377.00000 20.44324
378.00000 20.46197
379.00000 20.48139
380.00000 20.50149
381.00000 20.52230
382.00000 20.54381
383.00000 20.56606
384.00000 nan
385.00000 nan
386.00000 nan
387.00000 nan
388.00000 nan
389.00000 nan
390.00000 nan
