phi_sc  value
330.00000 3267.50744
331.00000 3279.00743
332.00000 3289.87961
333.00000 3300.86093
334.00000 3311.28934
335.00000 3321.14313
336.00000 3330.81258
337.00000 3339.26689
338.00000 3346.95571
339.00000 3353.77658
340.00000 3359.44353
341.00000 3363.75051
342.00000 3367.17282
343.00000 3368.96621
344.00000 3369.46788
345.00000 3368.59195
346.00000 3366.30037
347.00000 3362.11232
348.00000 3356.56312
349.00000 3349.30255
350.00000 3340.99931
351.00000 3330.95100
352.00000 3319.19889
353.00000 3306.18875
354.00000 3291.54721
355.00000 3275.65034
356.00000 3258.41137
357.00000 3239.92666
358.00000 3220.01849
359.00000 3199.20265
360.00000 3177.02806
361.00000 3154.02587
362.00000 3129.94745
363.00000 3104.92451
364.00000 3079.01984
365.00000 3052.76556
366.00000 3025.77593
367.00000 2998.14342
368.00000 2970.28476
369.00000 2942.04457
370.00000 2913.41670
371.00000 2884.94516
372.00000 2856.64716
373.00000 2828.34385
374.00000 2800.82337
375.00000 2772.96313
376.00000 2746.40740
377.00000 2719.56245
378.00000 2693.85608
379.00000 2668.59953
380.00000 2644.34543
