phi_sc  value
340.00000 1082.68686
341.00000 1083.79796
342.00000 1085.22544
343.00000 1086.96810
344.00000 1089.02647
345.00000 1091.39853
346.00000 1094.08625
347.00000 1097.08873
348.00000 1100.40579
349.00000 1104.03812
350.00000 1107.98536
351.00000 1112.24912
352.00000 1116.82897
353.00000 1121.72663
354.00000 1126.94249
355.00000 1132.47710
356.00000 1138.33333
357.00000 1144.51159
358.00000 1151.01396
359.00000 1157.84233
360.00000 1164.99909
361.00000 1172.48886
362.00000 1180.31023
363.00000 1188.46858
364.00000 1196.96680
365.00000 1205.80940
366.00000 1214.99964
367.00000 1224.54219
368.00000 1234.44483
369.00000 1244.70784
370.00000 1255.33804
371.00000 1266.34289
372.00000 1277.72838
373.00000 1289.50153
374.00000 1301.66929
375.00000 1314.24014
376.00000 1327.22237
377.00000 1340.62478
378.00000 1354.46034
379.00000 1368.73269
380.00000 1383.45595
381.00000 1398.64012
382.00000 1414.29910
383.00000 1430.44403
384.00000 0.00000
385.00000 0.00000
386.00000 0.00000
387.00000 0.00000
388.00000 0.00000
389.00000 0.00000
390.00000 0.00000
