phi_sc  value
330.00000 2437.64362
331.00000 2426.46401
332.00000 2415.16471
333.00000 2403.76238
334.00000 2392.27760
335.00000 2380.72848
336.00000 2369.13384
337.00000 2357.51765
338.00000 2345.89730
339.00000 2334.29528
340.00000 2322.73158
341.00000 2311.22706
342.00000 2299.80031
343.00000 2288.47224
344.00000 2277.25705
345.00000 2266.17598
346.00000 2255.24381
347.00000 2244.47587
348.00000 2233.88717
349.00000 2223.48892
350.00000 2213.29338
351.00000 2203.31593
352.00000 2193.55505
353.00000 2184.02189
354.00000 2174.72419
355.00000 2165.66609
356.00000 2156.85133
357.00000 2148.28799
358.00000 2139.96723
359.00000 2131.89424
360.00000 2124.06817
361.00000 2116.48806
362.00000 2109.15865
363.00000 2102.06415
364.00000 2095.20801
365.00000 2088.58633
366.00000 2082.19996
367.00000 2076.03368
368.00000 2070.08907
369.00000 2064.36486
370.00000 2058.84578
371.00000 2053.53272
372.00000 2048.42309
373.00000 2043.50350
374.00000 2038.77209
375.00000 2034.22912
376.00000 2029.85921
377.00000 2025.66622
378.00000 2021.63588
379.00000 2017.76729
380.00000 2014.05934
