phi_sc  value
340.00000 2958.17344
341.00000 2948.27896
342.00000 2938.31612
343.00000 2928.32003
344.00000 2918.19881
345.00000 2908.13852
346.00000 2898.05790
347.00000 2887.93735
348.00000 2877.84434
349.00000 2867.82152
350.00000 2857.82089
351.00000 2847.95313
352.00000 2838.09974
353.00000 2828.40862
354.00000 2818.83301
355.00000 2809.44042
356.00000 2800.16329
357.00000 2791.10346
358.00000 2782.26076
359.00000 2773.60562
360.00000 2765.15204
361.00000 2756.95477
362.00000 2748.97434
363.00000 2741.23009
364.00000 2733.74647
365.00000 2726.56681
366.00000 2719.63744
367.00000 2712.90484
368.00000 2706.50854
369.00000 2700.35565
370.00000 2694.40321
371.00000 2688.73505
372.00000 2683.33398
373.00000 2678.13741
374.00000 2673.23578
375.00000 2668.50310
376.00000 2664.03717
377.00000 2659.70207
378.00000 2655.65429
379.00000 2651.75123
380.00000 2648.03808
381.00000 2644.51840
382.00000 2641.14180
383.00000 2637.97853
384.00000 0.00000
385.00000 0.00000
386.00000 0.00000
387.00000 0.00000
388.00000 0.00000
389.00000 0.00000
390.00000 0.00000
