phi_sc  value
340.00000 175.32263
341.00000 175.36509
342.00000 175.45174
343.00000 175.58224
344.00000 175.75650
345.00000 175.97402
346.00000 176.23486
347.00000 176.53867
348.00000 176.88513
349.00000 177.27408
350.00000 177.70515
351.00000 178.17827
352.00000 178.69304
353.00000 179.24936
354.00000 179.84687
355.00000 180.48533
356.00000 181.16471
357.00000 181.88468
358.00000 182.64508
359.00000 183.44575
360.00000 184.28661
361.00000 185.16757
362.00000 186.08841
363.00000 187.04919
364.00000 188.04984
365.00000 189.09042
366.00000 190.17087
367.00000 191.29137
368.00000 192.45267
369.00000 193.65372
370.00000 194.89515
371.00000 196.17743
372.00000 197.50073
373.00000 198.86548
374.00000 200.27194
375.00000 201.72069
376.00000 203.21216
377.00000 204.74691
378.00000 206.32567
379.00000 207.94892
380.00000 209.61745
381.00000 211.33199
382.00000 213.09352
383.00000 214.90290
384.00000 0.00000
385.00000 0.00000
386.00000 0.00000
387.00000 0.00000
388.00000 0.00000
389.00000 0.00000
390.00000 0.00000
