phi_sc  value
340.00000 87.52550
341.00000 87.48313
342.00000 87.37203
343.00000 87.19312
344.00000 86.94714
345.00000 86.63564
346.00000 86.25948
347.00000 85.82034
348.00000 85.32005
349.00000 84.76031
350.00000 84.14328
351.00000 83.47082
352.00000 82.74539
353.00000 81.96911
354.00000 81.14458
355.00000 80.27427
356.00000 79.36048
357.00000 78.40591
358.00000 77.41314
359.00000 76.38471
360.00000 75.32314
361.00000 74.23099
362.00000 73.11085
363.00000 71.96510
364.00000 70.79623
365.00000 69.60654
366.00000 68.39848
367.00000 67.17414
368.00000 65.93504
369.00000 64.68460
370.00000 63.42433
371.00000 62.15595
372.00000 60.88144
373.00000 59.60247
374.00000 58.32086
375.00000 57.03807
376.00000 55.75571
377.00000 54.47519
378.00000 53.19783
379.00000 51.92498
380.00000 50.65784
381.00000 49.39759
382.00000 48.14521
383.00000 46.90175
384.00000 nan
385.00000 nan
386.00000 nan
387.00000 nan
388.00000 nan
389.00000 nan
390.00000 nan
