phi_sc  value
330.00000 31.56307
331.00000 31.53315
332.00000 31.51183
333.00000 31.50597
334.00000 31.50969
335.00000 31.52291
336.00000 31.54923
337.00000 31.57946
338.00000 31.61771
339.00000 31.66309
340.00000 31.71303
341.00000 31.76565
342.00000 31.82518
343.00000 31.88477
344.00000 31.94733
345.00000 32.01178
346.00000 32.07761
347.00000 32.14009
348.00000 32.20366
349.00000 32.26471
350.00000 32.32883
351.00000 32.38904
352.00000 32.44498
353.00000 32.50014
354.00000 32.55015
355.00000 32.59768
356.00000 32.64098
357.00000 32.67986
358.00000 32.71141
359.00000 32.73936
360.00000 32.75784
361.00000 32.77054
362.00000 32.77319
363.00000 32.76519
364.00000 32.74495
365.00000 32.71560
366.00000 32.67041
367.00000 32.60728
368.00000 32.52723
369.00000 32.42454
370.00000 32.29459
371.00000 32.13829
372.00000 31.94989
373.00000 31.72048
374.00000 31.45113
375.00000 31.11934
376.00000 30.73354
377.00000 30.26160
378.00000 29.70528
379.00000 29.03815
380.00000 28.24524
