phi_sc  value
330.00000 1.16293
331.00000 1.16183
332.00000 1.16104
333.00000 1.16083
334.00000 1.16096
335.00000 1.16145
336.00000 1.16242
337.00000 1.16353
338.00000 1.16494
339.00000 1.16661
340.00000 1.16845
341.00000 1.17039
342.00000 1.17259
343.00000 1.17478
344.00000 1.17709
345.00000 1.17946
346.00000 1.18189
347.00000 1.18419
348.00000 1.18653
349.00000 1.18878
350.00000 1.19114
351.00000 1.19336
352.00000 1.19542
353.00000 1.19746
354.00000 1.19930
355.00000 1.20105
356.00000 1.20264
357.00000 1.20408
358.00000 1.20524
359.00000 1.20627
360.00000 1.20695
361.00000 1.20742
362.00000 1.20752
363.00000 1.20722
364.00000 1.20648
365.00000 1.20539
366.00000 1.20373
367.00000 1.20140
368.00000 1.19845
369.00000 1.19467
370.00000 1.18988
371.00000 1.18412
372.00000 1.17718
373.00000 1.16873
374.00000 1.15881
375.00000 1.14658
376.00000 1.13237
377.00000 1.11498
378.00000 1.09448
379.00000 1.06990
380.00000 1.04069
