phi_sc  value
330.00000 53.11405
331.00000 53.20689
332.00000 53.29385
333.00000 53.37500
334.00000 53.45039
335.00000 53.52009
336.00000 53.58415
337.00000 53.64263
338.00000 53.69558
339.00000 53.74306
340.00000 53.78515
341.00000 53.82188
342.00000 53.85330
343.00000 53.87949
344.00000 53.90049
345.00000 53.91638
346.00000 53.92717
347.00000 53.93294
348.00000 53.93376
349.00000 53.92964
350.00000 53.92067
351.00000 53.90685
352.00000 53.88826
353.00000 53.86492
354.00000 53.83690
355.00000 53.80422
356.00000 53.76689
357.00000 53.72497
358.00000 53.67849
359.00000 53.62745
360.00000 53.57188
361.00000 53.51188
362.00000 53.44730
363.00000 53.37821
364.00000 53.30461
365.00000 53.22652
366.00000 53.14392
367.00000 53.05677
368.00000 52.96500
369.00000 52.86869
370.00000 52.76778
371.00000 52.66219
372.00000 52.55189
373.00000 52.43681
374.00000 52.31691
375.00000 52.19208
376.00000 52.06228
377.00000 51.92741
378.00000 51.78747
379.00000 51.64213
380.00000 51.49142
