phi_sc  value
0.10000 20.19859
0.20000 20.19369
0.30000 20.18955
0.40000 20.18614
0.50000 20.18342
0.60000 20.18133
0.70000 20.17982
0.80000 20.17884
0.90000 20.17832
1.00000 20.17823
1.10000 20.17851
1.20000 20.17912
1.30000 20.18003
1.40000 20.18120
1.50000 20.18260
1.60000 20.18420
1.70000 20.18597
1.80000 20.18790
1.90000 20.18996
2.00000 20.19214
2.10000 20.19441
2.20000 20.19677
2.30000 20.19919
2.40000 20.20168
2.50000 20.20422
2.60000 20.20679
2.70000 20.20940
2.80000 20.21203
2.90000 20.21468
3.00000 20.21734
3.10000 20.22001
3.20000 20.22268
3.30000 20.22533
3.40000 20.22800
3.50000 20.23065
3.60000 20.23330
3.70000 20.23593
3.80000 20.23854
3.90000 20.24114
4.00000 20.24372
4.10000 20.24628
4.20000 20.24882
4.30000 20.25133
4.40000 20.25382
4.50000 20.25629
4.60000 20.25873
4.70000 20.26114
4.80000 20.26354
4.90000 20.26590
5.00000 20.26823
