phi_sc  value
0.10000 3237.35870
0.20000 3237.89137
0.30000 3237.72681
0.40000 3237.20507
0.50000 3236.46978
0.60000 3235.71565
0.70000 3235.31311
0.80000 3235.09042
0.90000 3234.72473
1.00000 3235.08455
1.10000 3235.94939
1.20000 3237.20874
1.30000 3238.90588
1.40000 3240.94307
1.50000 3243.49369
1.60000 3246.51505
1.70000 3249.87045
1.80000 3253.46396
1.90000 3257.88136
2.00000 3262.29473
2.10000 3266.84276
2.20000 3272.26408
2.30000 3277.68414
2.40000 3283.19933
2.50000 3288.92117
2.60000 3294.92951
2.70000 3300.86573
2.80000 3307.17243
2.90000 3313.68047
3.00000 3320.12317
3.10000 3326.52148
3.20000 3333.19500
3.30000 3339.91142
3.40000 3346.37506
3.50000 3353.14218
3.60000 3359.69998
3.70000 3366.33897
3.80000 3372.85232
3.90000 3379.45002
4.00000 3386.04401
4.10000 3392.42479
4.20000 3398.82338
4.30000 3405.38175
4.40000 3411.55758
4.50000 3417.94506
4.60000 3423.77610
4.70000 3429.92193
4.80000 3435.80687
4.90000 3441.63580
5.00000 3447.43146
