phi_sc  value
0.10000 1079.25987
0.20000 1081.13808
0.30000 1083.23517
0.40000 1085.52408
0.50000 1087.97888
0.60000 1090.57427
0.70000 1093.28833
0.80000 1096.09997
0.90000 1098.99094
1.00000 1101.94517
1.10000 1104.94675
1.20000 1107.98400
1.30000 1111.04568
1.40000 1114.12197
1.50000 1117.20369
1.60000 1120.28470
1.70000 1123.35725
1.80000 1126.41709
1.90000 1129.45799
2.00000 1132.47710
2.10000 1135.47120
2.20000 1138.43637
2.30000 1141.37087
2.40000 1144.27262
2.50000 1147.13977
2.60000 1149.97111
2.70000 1152.76546
2.80000 1155.52204
2.90000 1158.23996
3.00000 1160.91929
3.10000 1163.55906
3.20000 1166.15957
3.30000 1168.72238
3.40000 1171.24447
3.50000 1173.72687
3.60000 1176.17065
3.70000 1178.57540
3.80000 1180.94208
3.90000 1183.27117
4.00000 1185.56224
4.10000 1187.81666
4.20000 1190.03461
4.30000 1192.21623
4.40000 1194.36273
4.50000 1196.47390
4.60000 1198.55117
4.70000 1200.59444
4.80000 1202.60481
4.90000 1204.58225
5.00000 1206.52795
