phi_sc  value
0.10000 2323.55830
0.20000 2306.20369
0.30000 2290.13882
0.40000 2275.36286
0.50000 2261.84505
0.60000 2249.53597
0.70000 2238.37418
0.80000 2228.28898
0.90000 2219.20604
1.00000 2211.04932
1.10000 2203.74512
1.20000 2197.21944
1.30000 2191.40963
1.40000 2186.23874
1.50000 2181.65164
1.60000 2177.59239
1.70000 2174.00908
1.80000 2170.85449
1.90000 2168.08646
2.00000 2165.66609
2.10000 2163.55819
2.20000 2161.73099
2.30000 2160.15686
2.40000 2158.81532
2.50000 2157.67164
2.60000 2156.71141
2.70000 2155.91581
2.80000 2155.26892
2.90000 2154.75502
3.00000 2154.36012
3.10000 2154.07316
3.20000 2153.88357
3.30000 2153.78062
3.40000 2153.75513
3.50000 2153.80032
3.60000 2153.90897
3.70000 2154.07893
3.80000 2154.29377
3.90000 2154.55472
4.00000 2154.85561
4.10000 2155.19407
4.20000 2155.56431
4.30000 2155.96372
4.40000 2156.38909
4.50000 2156.83748
4.60000 2157.30575
4.70000 2157.79224
4.80000 2158.29440
4.90000 2158.81031
5.00000 2159.33803
