phi_sc  value
0.10000 2974.37162
0.20000 2960.32152
0.30000 2947.05682
0.40000 2934.58822
0.50000 2922.82084
0.60000 2911.66073
0.70000 2901.17740
0.80000 2891.28387
0.90000 2881.89577
1.00000 2873.09199
1.10000 2864.79569
1.20000 2856.98157
1.30000 2849.57777
1.40000 2842.66906
1.50000 2836.18497
1.60000 2830.10779
1.70000 2824.36767
1.80000 2819.05482
1.90000 2814.04883
2.00000 2809.44042
2.10000 2805.10723
2.20000 2801.14173
2.30000 2797.47596
2.40000 2794.04372
2.50000 2790.93319
2.60000 2788.02623
2.70000 2785.36209
2.80000 2782.92777
2.90000 2780.75992
3.00000 2778.74214
3.10000 2776.91620
3.20000 2775.26958
3.30000 2773.83895
3.40000 2772.46366
3.50000 2771.33516
3.60000 2770.29234
3.70000 2769.37602
3.80000 2768.57601
3.90000 2767.88592
4.00000 2767.29690
4.10000 2766.80446
4.20000 2766.39815
4.30000 2766.07280
4.40000 2765.82331
4.50000 2765.64384
4.60000 2765.48116
4.70000 2765.47294
4.80000 2765.42558
4.90000 2765.47691
5.00000 2765.57495
