phi_sc  value
0.10000 1178.76245
0.20000 1180.60811
0.30000 1182.55947
0.40000 1184.59559
0.50000 1186.69769
0.60000 1188.84867
0.70000 1191.03401
0.80000 1193.24049
0.90000 1195.45708
1.00000 1197.67461
1.10000 1199.88422
1.20000 1202.07971
1.30000 1204.25545
1.40000 1206.40687
1.50000 1208.52979
1.60000 1210.62181
1.70000 1212.67985
1.80000 1214.70262
1.90000 1216.68804
2.00000 1218.63560
2.10000 1220.54486
2.20000 1222.41474
2.30000 1224.24555
2.40000 1226.03727
2.50000 1227.78996
2.60000 1229.50400
2.70000 1231.17986
2.80000 1232.81806
2.90000 1234.41909
3.00000 1235.98395
3.10000 1237.51288
3.20000 1239.00686
3.30000 1240.46878
3.40000 1241.89533
3.50000 1243.28916
3.60000 1244.65127
3.70000 1245.98214
3.80000 1247.28298
3.90000 1248.55466
4.00000 1249.79741
4.10000 1251.01236
4.20000 1252.20018
4.30000 1253.36158
4.40000 1254.49735
4.50000 1255.60793
4.60000 1256.69476
4.70000 1257.75774
4.80000 1258.79785
4.90000 1259.81546
5.00000 1260.81178
