phi_sc  value
0.10000 174.86156
0.20000 175.00322
0.30000 175.17806
0.40000 175.38268
0.50000 175.61366
0.60000 175.86752
0.70000 176.14118
0.80000 176.43163
0.90000 176.73620
1.00000 177.05250
1.10000 177.37819
1.20000 177.71150
1.30000 178.05074
1.40000 178.39438
1.50000 178.74102
1.60000 179.08971
1.70000 179.43923
1.80000 179.78891
1.90000 180.13776
2.00000 180.48533
2.10000 180.83105
2.20000 181.17433
2.30000 181.51484
2.40000 181.85224
2.50000 182.18620
2.60000 182.51652
2.70000 182.84297
2.80000 183.16539
2.90000 183.48362
3.00000 183.79761
3.10000 184.10722
3.20000 184.41244
3.30000 184.71324
3.40000 185.00959
3.50000 185.30138
3.60000 185.58875
3.70000 185.87162
3.80000 186.15007
3.90000 186.42415
4.00000 186.69380
4.10000 186.95918
4.20000 187.22029
4.30000 187.47711
4.40000 187.72983
4.50000 187.97839
4.60000 188.22292
4.70000 188.46345
4.80000 188.70010
4.90000 188.93286
5.00000 189.16182
