phi_sc  value
0.10000 88.24474
0.20000 88.04746
0.30000 87.79833
0.40000 87.50309
0.50000 87.16763
0.60000 86.79792
0.70000 86.39925
0.80000 85.97676
0.90000 85.53497
1.00000 85.07790
1.10000 84.60945
1.20000 84.13250
1.30000 83.64983
1.40000 83.16384
1.50000 82.67669
1.60000 82.18987
1.70000 81.70516
1.80000 81.22353
1.90000 80.74638
2.00000 80.27427
2.10000 79.80797
2.20000 79.34819
2.30000 78.89531
2.40000 78.44969
2.50000 78.01165
2.60000 77.58138
2.70000 77.15904
2.80000 76.74473
2.90000 76.33852
3.00000 75.94037
3.10000 75.55034
3.20000 75.16830
3.30000 74.79421
3.40000 74.42793
3.50000 74.06951
3.60000 73.71867
3.70000 73.37537
3.80000 73.03942
3.90000 72.71067
4.00000 72.38908
4.10000 72.07435
4.20000 71.76639
4.30000 71.46512
4.40000 71.17025
4.50000 70.88176
4.60000 70.59942
4.70000 70.32309
4.80000 70.05258
4.90000 69.78782
5.00000 69.52864
