phi_sc  value
0.10000 73.46230
0.20000 73.46781
0.30000 73.44899
0.40000 73.40775
0.50000 73.34623
0.60000 73.26676
0.70000 73.17146
0.80000 73.06244
0.90000 72.94162
1.00000 72.81079
1.10000 72.67166
1.20000 72.52554
1.30000 72.37372
1.40000 72.21737
1.50000 72.05754
1.60000 71.89496
1.70000 71.73056
1.80000 71.56487
1.90000 71.39863
2.00000 71.23219
2.10000 71.06602
2.20000 70.90053
2.30000 70.73601
2.40000 70.57272
2.50000 70.41091
2.60000 70.25073
2.70000 70.09238
2.80000 69.93598
2.90000 69.78164
3.00000 69.62944
3.10000 69.47946
3.20000 69.33174
3.30000 69.18644
3.40000 69.04332
3.50000 68.90259
3.60000 68.76418
3.70000 68.62813
3.80000 68.49441
3.90000 68.36302
4.00000 68.23396
4.10000 68.10715
4.20000 67.98259
4.30000 67.86031
4.40000 67.74018
4.50000 67.62224
4.60000 67.50646
4.70000 67.39276
4.80000 67.28109
4.90000 67.17145
5.00000 67.06384
