phi_sc  value
0.10000 30.46367
0.20000 30.51409
0.30000 30.56890
0.40000 30.62997
0.50000 30.69744
0.60000 30.77188
0.70000 30.85562
0.80000 30.94613
0.90000 31.03957
1.00000 31.14310
1.10000 31.25399
1.20000 31.37068
1.30000 31.49304
1.40000 31.61971
1.50000 31.75188
1.60000 31.88889
1.70000 32.02911
1.80000 32.17142
1.90000 32.32112
2.00000 32.47023
2.10000 32.61989
2.20000 32.77703
2.30000 32.93319
2.40000 33.08919
2.50000 33.24601
2.60000 33.40440
2.70000 33.56078
2.80000 33.71946
2.90000 33.87874
3.00000 34.03600
3.10000 34.19138
3.20000 34.34807
3.30000 34.50374
3.40000 34.65545
3.50000 34.80873
3.60000 34.95846
3.70000 35.10757
3.80000 35.25397
3.90000 35.39980
4.00000 35.54417
4.10000 35.68498
4.20000 35.82459
4.30000 35.96446
4.40000 36.09905
4.50000 36.23449
4.60000 36.36285
4.70000 36.49318
4.80000 36.61953
4.90000 36.74403
5.00000 36.86695
