phi_sc  value
0.10000 210.75152
0.20000 206.28425
0.30000 201.90946
0.40000 197.64839
0.50000 193.51509
0.60000 189.51925
0.70000 185.66521
0.80000 181.95508
0.90000 178.38866
1.00000 174.96411
1.10000 171.67879
1.20000 168.52899
1.30000 165.50943
1.40000 162.61774
1.50000 159.84802
1.60000 157.19645
1.70000 154.65757
1.80000 152.22824
1.90000 149.90296
2.00000 147.67874
2.10000 145.55179
2.20000 143.51781
2.30000 141.57439
2.40000 139.71731
2.50000 137.94406
2.60000 136.25213
2.70000 134.63808
2.80000 133.09934
2.90000 131.63318
3.00000 130.43174
3.10000 130.41194
3.20000 130.39655
3.30000 130.38451
3.40000 130.37441
3.50000 130.36563
3.60000 130.35912
3.70000 130.35343
3.80000 130.34837
3.90000 130.34430
4.00000 130.34018
4.10000 130.33646
4.20000 130.33320
4.30000 130.33073
4.40000 130.32801
4.50000 130.32555
4.60000 130.32330
4.70000 130.32107
4.80000 130.31921
4.90000 130.31698
5.00000 130.31491
