phi_sc  value
0.10000 0.35283
0.20000 0.35096
0.30000 0.34854
0.40000 0.34562
0.50000 0.34226
0.60000 0.33854
0.70000 0.33449
0.80000 0.33017
0.90000 0.32563
1.00000 0.32092
1.10000 0.31606
1.20000 0.31110
1.30000 0.30607
1.40000 0.30098
1.50000 0.29586
1.60000 0.29074
1.70000 0.28561
1.80000 0.28051
1.90000 0.27544
2.00000 0.27041
2.10000 0.26544
2.20000 0.26051
2.30000 0.25565
2.40000 0.25086
2.50000 0.24614
2.60000 0.24149
2.70000 0.23692
2.80000 0.23242
2.90000 0.22800
3.00000 0.22367
3.10000 0.21941
3.20000 0.21523
3.30000 0.21113
3.40000 0.20711
3.50000 0.20317
3.60000 0.19930
3.70000 0.19551
3.80000 0.19180
3.90000 0.18815
4.00000 0.18459
4.10000 0.18109
4.20000 0.17766
4.30000 0.17431
4.40000 0.17101
4.50000 0.16779
4.60000 0.16463
4.70000 0.16153
4.80000 0.15849
4.90000 0.15552
5.00000 0.15260
