phi_sc  value
0.10000 1.12242
0.20000 1.12428
0.30000 1.12630
0.40000 1.12855
0.50000 1.13104
0.60000 1.13378
0.70000 1.13686
0.80000 1.14020
0.90000 1.14364
1.00000 1.14746
1.10000 1.15154
1.20000 1.15584
1.30000 1.16035
1.40000 1.16502
1.50000 1.16989
1.60000 1.17493
1.70000 1.18010
1.80000 1.18534
1.90000 1.19086
2.00000 1.19635
2.10000 1.20187
2.20000 1.20766
2.30000 1.21341
2.40000 1.21916
2.50000 1.22494
2.60000 1.23077
2.70000 1.23653
2.80000 1.24238
2.90000 1.24825
3.00000 1.25404
3.10000 1.25977
3.20000 1.26554
3.30000 1.27128
3.40000 1.27687
3.50000 1.28251
3.60000 1.28803
3.70000 1.29353
3.80000 1.29892
3.90000 1.30429
4.00000 1.30961
4.10000 1.31480
4.20000 1.31994
4.30000 1.32510
4.40000 1.33006
4.50000 1.33505
4.60000 1.33978
4.70000 1.34458
4.80000 1.34923
4.90000 1.35382
5.00000 1.35835
