phi_sc  value
0.10000 53.83473
0.20000 53.86241
0.30000 53.88515
0.40000 53.90317
0.50000 53.91676
0.60000 53.92629
0.70000 53.93211
0.80000 53.93457
0.90000 53.93401
1.00000 53.93076
1.10000 53.92513
1.20000 53.91737
1.30000 53.90773
1.40000 53.89645
1.50000 53.88372
1.60000 53.86973
1.70000 53.85465
1.80000 53.83860
1.90000 53.82176
2.00000 53.80422
2.10000 53.78608
2.20000 53.76744
2.30000 53.74839
2.40000 53.72900
2.50000 53.70934
2.60000 53.68946
2.70000 53.66943
2.80000 53.64927
2.90000 53.62905
3.00000 53.60880
3.10000 53.58854
3.20000 53.56830
3.30000 53.54820
3.40000 53.52809
3.50000 53.50809
3.60000 53.48819
3.70000 53.46842
3.80000 53.44879
3.90000 53.42931
4.00000 53.41001
4.10000 53.39086
4.20000 53.37189
4.30000 53.35312
4.40000 53.33453
4.50000 53.31613
4.60000 53.29794
4.70000 53.27995
4.80000 53.26216
4.90000 53.24456
5.00000 53.22719
