,p_in,T_in,cr,bore,far_goal,PI,v_mean,T_fuel,T_out,eff,air_flow,p_max,T_max,power,heat_loss,p_tdc,nox,far_avg
7,520360.9986931798,381.7232226837626,10.065093010150092,0.1309866189458027,0.0624886938389246,0.9246488222594846,13.75760018061356,532.635448126571,1354.122144311675,0.4384731939840653,0.2142679520770136,31701008.845667414,2795.57954934512,252634.25440423732,62796.44567688536,25533591.84721857,3108.5916961700577,0.0624886938389246
10,115630.58889151204,359.495605041058,8.225959298980767,0.1998407637612833,0.0673655829491571,1.028994774880348,14.132503931185608,531.8562399188083,1436.9498828538194,0.4011198164540926,0.1186676144768945,6133246.63945352,2870.299709110634,137985.96789355963,43547.06977056862,4746572.553598172,4720.442898158628,0.0673655829491571
12,1044486.5409880172,583.1559760940022,4.414494099704894,0.1186550158759731,0.0386492039560592,1.2582582507321654,13.78415057879279,315.59416738248115,1322.8364061308694,0.2888799125490132,0.2215571498311957,14058644.783819152,2207.3395732979457,106447.18695170496,54218.5454261634,11377337.795567608,2181.849718436949,0.0386492039560592
13,911327.6692598248,475.5977597181589,6.578777531924893,0.1409894698993492,0.0329987357297256,1.1978527434940087,8.39916170652488,501.5502217503734,1068.1512731389837,0.3791634441909446,0.2100633537132673,21253163.33749661,2024.0855406458104,113100.51374599896,39868.03298864896,17801039.574239664,1377.825978463828,0.0329987357297256
15,224190.8919454404,254.63546922937013,14.792545777783944,0.1545706600802491,0.0672020541036625,1.443661265022952,10.35175704571464,410.80030127924033,1230.768780925085,0.4710344337466038,0.1371357008077096,28033646.26327953,2727.2012915278847,186799.73529692568,44594.71853396967,23072399.55194288,3046.3475512372743,0.0672020541036625
19,591043.0131379059,369.5326436370514,9.056894571212943,0.1056847198999612,0.06583146613473,1.3168133514434133,9.457407962657085,325.8835681096986,1411.8478601089028,0.4021648289805979,0.1080658215955516,32714253.85117025,2813.1141069486584,123116.5667237737,36508.18207175168,25891140.705084037,3058.1667459928385,0.06583146613473
20,1210013.4736699325,651.5752624629839,10.491738489300454,0.1534041510781016,0.0318310443672703,1.0184015726942903,9.613854964465826,374.2340136542259,1077.6696981445264,0.4255039309570275,0.287522297817897,39744902.79829829,2262.8914803253924,167577.81255518788,73975.13962530793,36383986.00984054,1323.3854295168492,0.0318310443672703
22,842978.8361249833,645.4406488263623,6.785105416136688,0.1754367714133252,0.0593793978706766,1.2243027663834007,9.129959866631156,367.46281559755374,1571.2194260772235,0.3441431882416115,0.2423330056618907,21653290.297201622,2884.623841177439,213097.354471282,97786.59825690942,17677108.41869618,2672.196610188505,0.0593793978706766
23,981722.3964905452,449.23230730855255,11.171031317113558,0.1275420439722216,0.0321036764276282,0.9135718438487104,11.877593509616442,355.6791686654594,931.4355694667672,0.473616616187504,0.2856948817181159,43175102.24842074,2049.677043070488,186928.1389276231,47516.281662267815,38357717.01623442,1297.951278761175,0.0321036764276282
24,1370110.760929291,695.7224027728996,8.91144233578417,0.1705511753048716,0.0583372874439648,0.970225313594898,11.00433593732225,278.0850733049498,1517.0024513211558,0.3945240985155146,0.4326305962183616,45883082.10062906,2971.2048040334844,428477.0050946738,160355.73422379894,39087469.36840213,2383.92750466548,0.0583372874439648
